4
4 2 1 3
output:10
ans:10
4 2 1 3
2 2 1 3
4 1 1 3
4 2 1 1
2 1 1 3
2 2 1 1
2 1 1 1
4 1 1 1
1 1 1 3
1 1 1 1

4
1 2 4 3
output:11
ans:11
1 2 4 3
1 2 3 3
1 2 2 3
1 2 2 2
1 1 4 3
1 1 3 3
1 1 2 3
1 1 2 2
1 1 1 3
1 1 1 2
1 1 1 1

4
1 4 2 3 
output:9

4
2 1 4 3 
output:8

4
3 2 1 4 
output:10

4
2 1 3 4
output:10

4
1 2 3 4 
output:14

5
2 5 3 1 4 
output:12

2 5 3 1 4
2 3 3 1 4
2 2 3 1 4
2 2 2 1 4
2 2 2 1 1
2 5 3 1 1
2 5 1 1 1
2 1 1 1 1
1 1 1 1 1

2 5 3 1 4
2 3 3 1 4
2 2 3 1 4
2 2 2 1 4
2 5 3 1 1
2 3 3 1 1
2 2 3 1 1
2 2 2 1 1
2 5 1 1 4
2 3 1 1 4
2 2 1 1 4
2 5 1 1 1
2 3 1 1 1
2 2 1 1 1
2 1 1 1 4
2 1 1 1 1
1 1 1 1 1

1
5
4 1 3 2 5
output:18
